day_of_year,Median occupancy rate,Max occupancy rate,Min occupancy rate,Median beds open,Max beds open,Min beds open,Median beds occupied,Max beds occupied,Min beds occupied,Median critical care beds occupancy rate,Max critical care beds occupancy rate,Min critical care beds occupancy rate,Median no. beds occupied by long-stay patients (> 7 days),Max no. beds occupied by long-stay patients (> 7 days),Min no. beds occupied by long-stay patients (> 7 days),Median no. beds occupied by long-stay patients (> 21 days),Max no. beds occupied by long-stay patients (> 21 days),Min no. beds occupied by long-stay patients (> 21 days)
2022-02-25,0,0.9578456891926799,0,98263,100654,97391,92677,96411,91809,0.8352272727272727,0.8865872604867944,0.8149802890932983,NA,NA,NA,NA,NA,NA
2022-02-26,0,0.9490115909812639,0,98050,100768,97057,92982,95630,92051,0.8421913327882257,0.861942405420666,0.8038351904638508,NA,NA,NA,NA,NA,NA
2022-02-27,0,0.9548196649859833,0,98421.5,100951,97180,93399.5,96390,91735,0.8354893566317497,0.869375511317153,0.8280653950953678,NA,NA,NA,NA,NA,NA
2022-02-28,0,0.9549863836046674,0,97697,100614,97478,92656,96085,90472,0.8396149306458336,0.86062621224716,0.8105320304017373,NA,NA,NA,NA,NA,NA
2022-03-01,0,0.950595728216982,0,98260,100801,97157,92880.5,95821,89883,0.8392689430715284,0.870556309362279,0.7942794279427943,NA,NA,NA,NA,NA,NA
2022-03-02,0,0.9488290632506005,0,97428,99920,96983,91722,94807,89815,0.848115299334812,0.8543266769073221,0.8025233132199671,NA,NA,NA,NA,NA,NA
2022-03-03,0,0.9272593984574243,0,97527,97588,96851,91652,92106,89806,0.8098909864397766,0.831345353675451,0.7932443475892127,NA,NA,NA,NA,NA,NA
2022-03-04,0.46256107555214376,0.9251221511042875,0,97817,99237,96397,92018.5,94858,89179,0.8053619392879601,0.823127392017496,0.7875964865584243,NA,NA,NA,NA,NA,NA
2022-03-05,0.9414699731102479,0.9414699731102479,0.9414699731102479,100410,100410,100410,94533,94533,94533,0.7888803484499103,0.7888803484499103,0.7888803484499103,NA,NA,NA,NA,NA,NA
2022-03-06,0.9530311142840145,0.9530311142840145,0.9530311142840145,100854,100854,100854,96117,96117,96117,0.8368541613642149,0.8368541613642149,0.8368541613642149,NA,NA,NA,NA,NA,NA
2022-03-07,0.9528580667628476,0.9528580667628476,0.9528580667628476,100505,100505,100505,95767,95767,95767,0.8512375606021945,0.8512375606021945,0.8512375606021945,NA,NA,NA,NA,NA,NA
2022-03-08,0.9511902380476095,0.9511902380476095,0.9511902380476095,99980,99980,99980,95100,95100,95100,0.8430722122990559,0.8430722122990559,0.8430722122990559,NA,NA,NA,NA,NA,NA
2022-03-09,0.9468074449542203,0.9468074449542203,0.9468074449542203,99826,99826,99826,94516,94516,94516,0.8469778117827085,0.8469778117827085,0.8469778117827085,NA,NA,NA,NA,NA,NA
2022-03-10,0.9314865504538065,0.9314865504538065,0.9314865504538065,97178,97178,97178,90520,90520,90520,0.8413865546218487,0.8413865546218487,0.8413865546218487,NA,NA,NA,NA,NA,NA
2022-03-11,0.9252211203430716,0.9252211203430716,0.9252211203430716,97006,97006,97006,89752,89752,89752,0.8090572033898306,0.8090572033898306,0.8090572033898306,NA,NA,NA,NA,NA,NA
2022-03-12,0.9365485031620514,0.9365485031620514,0.9365485031620514,99777,99777,99777,93446,93446,93446,0.801954732510288,0.801954732510288,0.801954732510288,NA,NA,NA,NA,NA,NA
NA,0,0,0,97263,97263,97263,89904,89904,89904,0.798956330678385,0.798956330678385,0.798956330678385,41896,41896,41896,15908,15908,15908
